"时间","事件类型","关联题目","题目编码","附加信息"
"2026/8/29 04:07:43","查看提示","A-03 · 资产管理系统","a-03","hint_cost_radio: 0.1"
"2026/8/29 04:07:50","关闭靶场","A-12 · Online Code Editor","a-12",""
"2026/8/29 04:07:52","启动靶场","A-14 · 货运追踪平台","a-14","container_addr: 10.0.172.202:80"
"2026/8/29 04:13:08","关闭靶场","C-09 · 综合业务运营中台","c-09",""
"2026/8/29 04:13:10","启动靶场","A-17 · 系统诊断面板","a-17","container_addr: 10.0.172.200:80"
"2026/8/29 04:13:10","答题失败","A-17 · 系统诊断面板","a-17",""
"2026/8/29 04:13:10","答题失败","A-17 · 系统诊断面板","a-17",""
"2026/8/29 04:17:29","得分成功","A-03 · 资产管理系统","a-03","+270 点"
"2026/8/29 04:18:15","关闭靶场","A-03 · 资产管理系统","a-03",""
"2026/8/29 04:18:18","启动靶场","B-01 · Behind the Firewall","b-01","container_addr: 10.0.172.201:80"
"2026/8/29 04:22:58","查看提示","A-14 · 货运追踪平台","a-14","hint_cost_radio: 0.1"
"2026/8/29 04:25:53","得分成功","A-17 · 系统诊断面板","a-17","+300 点"
"2026/8/29 04:25:58","关闭靶场","A-17 · 系统诊断面板","a-17",""
"2026/8/29 04:26:01","启动靶场","B-03 · Link Violation","b-03","container_addr: 10.0.172.200:80"
"2026/8/29 04:33:24","查看提示","B-01 · Behind the Firewall","b-01","hint_cost_radio: 0.1"
"2026/8/29 04:36:26","得分成功","B-03 · Link Violation","b-03","+300 点"
"2026/8/29 04:36:26","得分成功","B-03 · Link Violation","b-03","+300 点"
"2026/8/29 04:53:05","关闭靶场","A-14 · 货运追踪平台","a-14",""
"2026/8/29 04:53:06","启动靶场","C-04 · 空间信息发布中心","c-04","container_addr: 10.0.172.202:8080,10.0.172.202:5005"
"2026/8/29 05:03:21","关闭靶场","B-01 · Behind the Firewall","b-01",""
"2026/8/29 05:03:24","启动靶场","C-05 · 算法效果展示平台","c-05","container_addr: 10.0.172.201:7860"
"2026/8/29 05:08:13","查看提示","C-04 · 空间信息发布中心","c-04","hint_cost_radio: 0.1"
"2026/8/29 05:16:02","得分成功","C-04 · 空间信息发布中心","c-04","+270 点"
"2026/8/29 05:16:05","关闭靶场","C-04 · 空间信息发布中心","c-04",""
"2026/8/29 05:21:27","得分成功","C-05 · 算法效果展示平台","c-05","+300 点"
"2026/8/29 05:21:37","关闭靶场","C-05 · 算法效果展示平台","c-05",""
"2026/8/29 05:21:47","启动靶场","D-04 · Azure Storage SAS Overprivileged","d-04","container_addr: 10.0.172.201:8000"
"2026/8/29 05:28:28","得分成功","D-04 · Azure Storage SAS Overprivileged","d-04","+300 点"
"2026/8/29 05:29:02","关闭靶场","D-04 · Azure Storage SAS Overprivileged","d-04",""
"2026/8/29 05:29:19","启动靶场","D-06 · CloudVault 对象存储网关","d-06","container_addr: 10.0.172.201:80"
"2026/8/29 05:37:52","得分成功","D-06 · CloudVault 对象存储网关","d-06","+300 点"
"2026/8/29 05:38:15","关闭靶场","D-06 · CloudVault 对象存储网关","d-06",""
"2026/8/29 05:38:16","启动靶场","F1-01-token-store-service","f1-01","container_addr: 10.0.172.201:9004"
"2026/8/29 05:48:42","得分成功","F1-01-token-store-service","f1-01","+300 点"
"2026/8/29 05:49:37","关闭靶场","F1-01-token-store-service","f1-01",""
"2026/8/29 05:49:38","启动靶场","F1-02-lru-cache-service","f1-02","container_addr: 10.0.172.201:9010"
"2026/8/29 05:56:48","关闭靶场","B-03 · Link Violation","b-03",""
"2026/8/29 05:56:49","启动靶场","F1-03-tls-heartbeat-service","f1-03","container_addr: 10.0.172.200:9011"
"2026/8/29 06:00:04","得分成功","F1-02-lru-cache-service","f1-02","+300 点"
"2026/8/29 06:00:18","得分成功","F1-03-tls-heartbeat-service","f1-03","+300 点"
